id,CVE_ENT,CVE_MUN,municipio,poblaciÃ³n,enfermeras,tasa
1,31,1,Abalá,6550,2,0.305343511
2,31,2,Acanceh,16772,80,4.769854519
3,31,3,Akil,12285,4,0.325600326
4,31,4,Baca,6195,1,0.1614205
5,31,5,Bokobá,2167,0,0
6,31,6,Buctzotz,9159,9,0.982640026
7,31,7,Cacalchén,7490,3,0.400534045
8,31,8,Calotmul,3949,2,0.506457331
9,31,9,Cansahcab,4466,2,0.447828034
10,31,10,Cantamayec,2755,1,0.362976407
11,31,11,Celestún,8389,7,0.834426034
12,31,12,Cenotillo,3736,3,0.802997859
13,31,13,Conkal,16671,11,0.659828445
14,31,14,Cuncunul,1714,2,1.166861144
15,31,15,Cuzamá,5560,2,0.35971223
16,31,16,Chacsinkín,3104,3,0.966494845
17,31,17,Chankom,4686,9,1.920614597
18,31,18,Chapab,3385,9,2.658788774
19,31,19,Chemax,38934,29,0.744850259
20,31,20,Chicxulub Pueblo,4497,1,0.222370469
21,31,21,Chichimilá,9406,10,1.06315118
22,31,22,Chikindzonot,4363,5,1.146000458
23,31,23,Chocholá,4863,2,0.411268764
24,31,24,Chumayel,3244,2,0.616522811
25,31,25,Dzan,6003,9,1.499250375
26,31,26,Dzemul,3622,1,0.276090558
27,31,27,Dzidzantún,8345,8,0.958657879
28,31,28,Dzilam de Bravo,2936,2,0.68119891
29,31,29,Dzilam González,6240,1,0.16025641
30,31,30,Dzitás,4015,3,0.747198007
31,31,31,Dzoncauich,2818,3,1.064584812
32,31,32,Espita,16779,10,0.595983074
33,31,33,Halachó,21255,6,0.282286521
34,31,34,Hocabá,6514,3,0.460546515
35,31,35,Hoctún,6384,3,0.469924812
36,31,36,Homún,8090,3,0.370828183
37,31,37,Huhí,5250,1,0.19047619
38,31,38,Hunucmá,35137,24,0.683040669
39,31,39,Ixil,4186,1,0.238891543
40,31,40,Izamal,28555,69,2.416389424
41,31,41,Kanasín,141939,56,0.394535681
42,31,42,Kantunil,5553,3,0.540248514
43,31,43,Kaua,3405,2,0.587371512
44,31,44,Kinchil,7530,3,0.398406375
45,31,45,Kopomá,2677,0,0
46,31,46,Mama,3296,3,0.910194175
47,31,47,Maní,5968,6,1.00536193
48,31,48,Maxcanú,23991,62,2.584302447
49,31,49,Mayapán,3965,1,0.25220681
50,31,50,Mérida,995129,5509,5.535965689
51,31,51,Mocochá,3430,1,0.29154519
52,31,52,Motul,37804,127,3.359432864
53,31,53,Muna,13494,3,0.222321032
54,31,54,Muxupip,2990,2,0.668896321
55,31,55,Opichén,7080,3,0.423728814
56,31,56,Oxkutzcab,33854,82,2.422165771
57,31,57,Panabá,7766,8,1.030131342
58,31,58,Peto,25954,90,3.467673576
59,31,59,Progreso,66008,58,0.878681372
60,31,60,Quintana Roo,976,1,1.024590164
61,31,61,Río Lagartos,3974,2,0.503271263
62,31,62,Sacalum,4962,2,0.403063281
63,31,63,Samahil,5631,5,0.887941751
64,31,64,Sanahcat,1701,1,0.587889477
65,31,65,San Felipe,2118,2,0.944287063
66,31,66,Santa Elena,4220,6,1.421800948
67,31,67,Seyé,10053,3,0.298418383
68,31,68,Sinanché,3206,2,0.623830318
69,31,69,Sotuta,8967,1,0.111520018
70,31,70,Sucilá,3971,4,1.007302946
71,31,71,Sudzal,1949,0,0
72,31,72,Suma,1857,1,0.538502962
73,31,73,Tahdziú,5854,2,0.341646737
74,31,74,Tahmek,3774,1,0.264970853
75,31,75,Teabo,6921,8,1.155902326
76,31,76,Tecoh,17939,4,0.222977869
77,31,77,Tekal de Venegas,2683,1,0.372717108
78,31,78,Tekantó,3747,2,0.533760342
79,31,79,Tekax,45062,209,4.638054236
80,31,80,Tekit,11020,3,0.272232305
81,31,81,Tekom,3355,3,0.894187779
82,31,82,Telchac Pueblo,3512,1,0.284738041
83,31,83,Telchac Puerto,1915,1,0.522193211
84,31,84,Temax,7037,4,0.568424044
85,31,85,Temozón,16680,14,0.839328537
86,31,86,Tepakán,2133,2,0.937646507
87,31,87,Tetiz,5464,2,0.366032211
88,31,88,Teya,1917,1,0.521648409
89,31,89,Ticul,40495,188,4.642548463
90,31,90,Timucuy,7503,1,0.133280021
91,31,91,Tinum,12700,12,0.94488189
92,31,92,Tixcacalcupul,7888,8,1.014198783
93,31,93,Tixkokob,18420,14,0.760043431
94,31,94,Tixméhuac,5444,1,0.183688464
95,31,95,Tixpéhual,5690,1,0.175746924
96,31,96,Tizimín,80672,235,2.913030543
97,31,97,Tunkás,3684,1,0.271444083
98,31,98,Tzucacab,15346,15,0.977453408
99,31,99,Uayma,4191,8,1.908852303
100,31,100,Ucú,4049,3,0.740923685
101,31,101,Umán,69147,130,1.880052641
102,31,102,Valladolid,85460,349,4.083781886
103,31,103,Xocchel,3451,2,0.579542162
104,31,104,Yaxcabá,16350,12,0.733944954
105,31,105,Yaxkukul,3293,1,0.303674461
106,31,106,Yobaín,2215,7,3.16027088
8888,8888,8888,No Disponible,0,806,0
9999,9999,9999,Total Yucatán,2320898,8447,3.639539523
